experiment,locality,policy,K,n_instances,n_requests,advertised_entries,index_entries_bound,metadata_snapshot_bytes,hit_rate,exact_hit_rate,saved_ms_total,exact_saved_ms_total,saved_vs_exact_ratio,stale_lookup_miss_rate,candidate_fanout_p95,claim_relevance
admission_ablation,high,random_k,1,64,6000,64,64,10240,0.5762,0.9185,142498.44,256512.41,0.5555,0.0492,24,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,lru_k,1,64,6000,64,64,10240,0.6995,0.9185,189344.19,256512.41,0.7381,0.0048,4,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,coverage_k,1,64,6000,64,64,10240,0.5362,0.9185,164220.22,256512.41,0.6402,0.0668,17,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,demand_aware,1,64,6000,64,64,10240,0.26,0.9185,79762.74,256512.41,0.311,0.0022,64,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,random_k,2,64,6000,128,128,14336,0.658,0.9185,150740.0,256512.41,0.5877,0.0722,31,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,lru_k,2,64,6000,128,128,14336,0.797,0.9185,209464.39,256512.41,0.8166,0.0073,13,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,coverage_k,2,64,6000,128,128,14336,0.656,0.9185,200451.09,256512.41,0.7814,0.0768,31,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,demand_aware,2,64,6000,128,128,14336,0.2603,0.9185,79812.74,256512.41,0.3111,0.0018,128,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,random_k,4,64,6000,256,256,22528,0.748,0.9185,181532.18,256512.41,0.7077,0.0527,75,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,lru_k,4,64,6000,256,256,22528,0.8523,0.9185,232174.06,256512.41,0.9051,0.0133,16,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,coverage_k,4,64,6000,256,256,22528,0.7107,0.9185,216942.58,256512.41,0.8457,0.0817,67,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,demand_aware,4,64,6000,256,256,22528,0.4465,0.9185,136487.11,256512.41,0.5321,0.0292,242,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,random_k,8,64,6000,512,512,38912,0.7835,0.9185,196763.21,256512.41,0.7671,0.0562,146,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,lru_k,8,64,6000,512,512,38912,0.8953,0.9185,250057.29,256512.41,0.9748,0.0225,29,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,coverage_k,8,64,6000,512,512,38912,0.7932,0.9185,240527.9,256512.41,0.9377,0.0617,144,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,demand_aware,8,64,6000,512,512,38912,0.5203,0.9185,158319.43,256512.41,0.6172,0.0227,423,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,random_k,16,64,6000,1024,1024,71680,0.8395,0.9185,226938.54,256512.41,0.8847,0.056,286,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,lru_k,16,64,6000,1024,1024,71680,0.9182,0.9185,256413.92,256512.41,0.9996,0.0345,135,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,coverage_k,16,64,6000,1024,1024,71680,0.8575,0.9185,253087.76,256512.41,0.9866,0.051,285,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,demand_aware,16,64,6000,1024,1024,71680,0.5867,0.9185,178171.43,256512.41,0.6946,0.0118,689,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,random_k,32,64,6000,2048,2048,137216,0.8958,0.9185,249349.18,256512.41,0.9721,0.0442,547,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,lru_k,32,64,6000,2048,2048,137216,0.9185,0.9185,256512.41,256512.41,1.0,0.0387,512,Demand-aware top-K should retain high-value prefix affinity under bounded K.
