experiment,policy,K,locality,rep,n_requests,n_success,success_rate,unique_prefixes,observed_reuse_hit_rate,candidate_hit_rate,candidate_fanout_p95,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,decision_p50_us,decision_p95_us,advertised_entries_end,metadata_snapshot_bytes_end,claim_relevance
live_vllm_affinity_workload,coarse,full,high,1,30,30,1.0,12,0.2333,0.0,0,1332.374,3273.308,1551.779,4485.842,11.145,13.276,0,768,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,sketch,2,high,1,30,30,1.0,11,0.6333,0.6333,1,41.929,219.489,248.389,415.033,17.496,26.933,11,1472,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,sketch,8,high,1,30,30,1.0,13,0.5667,0.5667,1,48.411,192.111,251.016,402.125,18.367,20.548,13,1600,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,exact,full,high,1,30,30,1.0,15,0.5,0.5,1,45.021,148.586,227.238,324.109,18.226,23.987,15,1728,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,coarse,full,medium,1,30,30,1.0,19,0.0667,0.0,0,104.51,170.599,303.643,388.33,10.831,16.189,0,768,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,sketch,2,medium,1,30,30,1.0,25,0.1667,0.1667,1,99.471,182.146,281.221,377.657,13.48,20.381,16,1792,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,sketch,8,medium,1,30,30,1.0,25,0.1667,0.1667,1,100.174,180.89,276.448,370.914,14.2,18.971,25,2368,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,exact,full,medium,1,30,30,1.0,19,0.3667,0.3667,1,44.247,169.583,229.359,354.054,15.731,22.894,19,1984,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,coarse,full,low,1,30,30,1.0,27,0.0333,0.0,0,96.923,119.872,269.024,320.351,11.371,13.38,0,768,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,sketch,2,low,1,30,30,1.0,25,0.0667,0.0333,0,94.819,121.254,262.384,319.335,14.397,19.674,16,1792,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,sketch,8,low,1,30,30,1.0,25,0.1667,0.1667,1,92.008,176.801,266.797,379.112,14.926,20.234,25,2368,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,exact,full,low,1,30,30,1.0,25,0.1667,0.1667,1,88.575,176.623,270.331,364.705,16.864,23.376,25,2368,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
