request_id,arrival_time,tenant,model_revision,full_prefix_hash_chain,prefix_length,expected_reuse_coverage,generation_length,locality_class,digest,discard
0,0.0,t15,qwen2.5-1.5b-r1,"[""root-23"", ""tenant-077"", ""p00271""]",256,1.0,32,low,p00271,False
1,0.02,t00,qwen2.5-1.5b-r1,"[""root-23"", ""tenant-046"", ""p00240""]",512,0.5,32,low,p00240,False
2,0.04,t09,qwen2.5-1.5b-r1,"[""root-12"", ""tenant-008"", ""p00105""]",1024,0.6666666666666666,32,low,p00105,False
3,0.06,t06,qwen2.5-1.5b-r1,"[""root-26"", ""tenant-053"", ""p00150""]",2048,0.8333333333333333,32,low,p00150,False
4,0.08,t13,qwen2.5-1.5b-r1,"[""root-15"", ""tenant-088"", ""p00573""]",256,0.6666666666666666,32,low,p00573,False
5,0.1,t11,qwen2.5-1.5b-r1,"[""root-06"", ""tenant-056"", ""p00347""]",512,1.0,32,low,p00347,False
6,0.12,t11,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-074"", ""p00171""]",1024,1.0,32,low,p00171,False
7,0.14,t01,qwen2.5-1.5b-r1,"[""root-15"", ""tenant-061"", ""p00449""]",2048,0.6666666666666666,32,low,p00449,False
8,0.16,t00,qwen2.5-1.5b-r1,"[""root-22"", ""tenant-014"", ""p00208""]",256,0.5,32,low,p00208,False
9,0.18,t00,qwen2.5-1.5b-r1,"[""root-17"", ""tenant-048"", ""p00048""]",512,0.5,32,low,p00048,False
10,0.2,t11,qwen2.5-1.5b-r1,"[""root-05"", ""tenant-024"", ""p00315""]",1024,1.0,32,low,p00315,False
11,0.22,t00,qwen2.5-1.5b-r1,"[""root-13"", ""tenant-028"", ""p00416""]",2048,0.5,32,low,p00416,False
12,0.24,t02,qwen2.5-1.5b-r1,"[""root-25"", ""tenant-048"", ""p00242""]",256,0.8333333333333333,32,low,p00242,False
13,0.26,t10,qwen2.5-1.5b-r1,"[""root-27"", ""tenant-058"", ""p00058""]",512,0.8333333333333333,32,low,p00058,False
14,0.28,t15,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-058"", ""p00543""]",1024,1.0,32,low,p00543,False
15,0.3,t11,qwen2.5-1.5b-r1,"[""root-20"", ""tenant-008"", ""p00299""]",2048,1.0,32,low,p00299,False
16,0.32,t07,qwen2.5-1.5b-r1,"[""root-24"", ""tenant-055"", ""p00055""]",256,1.0,32,low,p00055,False
17,0.34,t14,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-093"", ""p00190""]",512,0.8333333333333333,32,low,p00190,False
18,0.36,t00,qwen2.5-1.5b-r1,"[""root-03"", ""tenant-010"", ""p00592""]",1024,0.5,32,low,p00592,False
19,0.38,t07,qwen2.5-1.5b-r1,"[""root-26"", ""tenant-022"", ""p00119""]",2048,1.0,32,low,p00119,False
20,0.4,t00,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-031"", ""p00128""]",256,0.5,32,low,p00128,False
21,0.42,t01,qwen2.5-1.5b-r1,"[""root-20"", ""tenant-016"", ""p00113""]",512,0.6666666666666666,32,low,p00113,False
22,0.44,t14,qwen2.5-1.5b-r1,"[""root-01"", ""tenant-008"", ""p00590""]",1024,0.8333333333333333,32,low,p00590,False
23,0.46,t12,qwen2.5-1.5b-r1,"[""root-17"", ""tenant-075"", ""p00172""]",2048,0.5,32,low,p00172,False
24,0.48,t09,qwen2.5-1.5b-r1,"[""root-14"", ""tenant-072"", ""p00169""]",256,0.6666666666666666,32,low,p00169,False
25,0.5,t14,qwen2.5-1.5b-r1,"[""root-14"", ""tenant-014"", ""p00014""]",512,0.8333333333333333,32,low,p00014,False
26,0.52,t04,qwen2.5-1.5b-r1,"[""root-21"", ""tenant-063"", ""p00548""]",1024,0.5,32,low,p00548,False
27,0.54,t11,qwen2.5-1.5b-r1,"[""root-27"", ""tenant-038"", ""p00523""]",2048,1.0,32,low,p00523,False
28,0.56,t05,qwen2.5-1.5b-r1,"[""root-07"", ""tenant-069"", ""p00069""]",256,0.6666666666666666,32,low,p00069,False
29,0.58,t15,qwen2.5-1.5b-r1,"[""root-29"", ""tenant-075"", ""p00463""]",512,1.0,32,low,p00463,False
30,0.6,t15,qwen2.5-1.5b-r1,"[""root-01"", ""tenant-074"", ""p00559""]",1024,1.0,32,low,p00559,False
31,0.62,t11,qwen2.5-1.5b-r1,"[""root-19"", ""tenant-073"", ""p00267""]",2048,1.0,32,low,p00267,False
