request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,workload,discard
0,0,39,0,tenant-7,L0039,2048,reuse_intensive,True
1,0,11,0,tenant-3,L0011,2048,reuse_intensive,True
2,0,0,0,tenant-0,L0000,2048,reuse_intensive,True
3,0,0,1,tenant-0,L0000,2048,reuse_intensive,True
4,0,0,2,tenant-0,L0000,2048,reuse_intensive,True
5,0,34,0,tenant-2,L0034,2048,reuse_intensive,True
6,0,3,0,tenant-3,L0003,2048,reuse_intensive,True
7,0,0,0,tenant-0,L0000,2048,reuse_intensive,True
8,0,34,1,tenant-2,L0034,2048,reuse_intensive,True
9,0,4,0,tenant-4,L0004,2048,reuse_intensive,True
10,0,5,0,tenant-5,L0005,2048,reuse_intensive,True
11,0,9,0,tenant-1,L0009,2048,reuse_intensive,True
12,0,1,0,tenant-1,L0001,2048,reuse_intensive,True
13,0,0,1,tenant-0,L0000,2048,reuse_intensive,True
14,0,23,0,tenant-7,L0023,2048,reuse_intensive,True
15,0,36,0,tenant-4,L0036,2048,reuse_intensive,True
16,0,1,1,tenant-1,L0001,2048,reuse_intensive,True
17,0,19,0,tenant-3,L0019,2048,reuse_intensive,True
18,0,0,2,tenant-0,L0000,2048,reuse_intensive,True
19,0,0,0,tenant-0,L0000,2048,reuse_intensive,True
20,0,2,0,tenant-2,L0002,2048,reuse_intensive,True
21,0,29,0,tenant-5,L0029,2048,reuse_intensive,True
22,0,0,1,tenant-0,L0000,2048,reuse_intensive,True
23,0,3,1,tenant-3,L0003,2048,reuse_intensive,True
24,0,4,1,tenant-4,L0004,2048,reuse_intensive,False
25,0,1,2,tenant-1,L0001,2048,reuse_intensive,False
26,0,2,1,tenant-2,L0002,2048,reuse_intensive,False
27,0,0,2,tenant-0,L0000,2048,reuse_intensive,False
28,0,17,0,tenant-1,L0017,2048,reuse_intensive,False
29,0,2,2,tenant-2,L0002,2048,reuse_intensive,False
30,0,59,0,tenant-3,L0059,2048,reuse_intensive,False
31,0,1,0,tenant-1,L0001,2048,reuse_intensive,False
32,0,0,0,tenant-0,L0000,2048,reuse_intensive,False
33,0,44,0,tenant-4,L0044,2048,reuse_intensive,False
34,0,25,0,tenant-1,L0025,2048,reuse_intensive,False
35,0,11,1,tenant-3,L0011,2048,reuse_intensive,False
36,0,1,1,tenant-1,L0001,2048,reuse_intensive,False
37,0,0,1,tenant-0,L0000,2048,reuse_intensive,False
38,0,8,0,tenant-0,L0008,2048,reuse_intensive,False
39,0,6,0,tenant-6,L0006,2048,reuse_intensive,False
40,0,0,2,tenant-0,L0000,2048,reuse_intensive,False
41,0,4,2,tenant-4,L0004,2048,reuse_intensive,False
42,0,2,0,tenant-2,L0002,2048,reuse_intensive,False
43,0,0,0,tenant-0,L0000,2048,reuse_intensive,False
44,0,3,2,tenant-3,L0003,2048,reuse_intensive,False
45,0,1,2,tenant-1,L0001,2048,reuse_intensive,False
46,0,4,0,tenant-4,L0004,2048,reuse_intensive,False
47,0,20,0,tenant-4,L0020,2048,reuse_intensive,False
48,0,3,0,tenant-3,L0003,2048,reuse_intensive,False
49,0,2,1,tenant-2,L0002,2048,reuse_intensive,False
50,0,36,1,tenant-4,L0036,2048,reuse_intensive,False
51,0,31,0,tenant-7,L0031,2048,reuse_intensive,False
52,0,0,1,tenant-0,L0000,2048,reuse_intensive,False
53,0,10,0,tenant-2,L0010,2048,reuse_intensive,False
54,0,1,0,tenant-1,L0001,2048,reuse_intensive,False
55,0,47,0,tenant-7,L0047,2048,reuse_intensive,False
56,0,33,0,tenant-1,L0033,2048,reuse_intensive,False
57,0,11,2,tenant-3,L0011,2048,reuse_intensive,False
58,0,38,0,tenant-6,L0038,2048,reuse_intensive,False
59,0,0,2,tenant-0,L0000,2048,reuse_intensive,False
60,1,87,0,tenant-7,L0087,2048,reuse_intensive,False
61,1,65,0,tenant-1,L0065,2048,reuse_intensive,False
62,1,79,0,tenant-7,L0079,2048,reuse_intensive,False
63,1,67,0,tenant-3,L0067,2048,reuse_intensive,False
64,1,66,0,tenant-2,L0066,2048,reuse_intensive,False
65,1,64,0,tenant-0,L0064,2048,reuse_intensive,False
66,1,67,1,tenant-3,L0067,2048,reuse_intensive,False
67,1,97,0,tenant-1,L0097,2048,reuse_intensive,False
68,1,125,0,tenant-5,L0125,2048,reuse_intensive,False
69,1,69,0,tenant-5,L0069,2048,reuse_intensive,False
70,1,90,0,tenant-2,L0090,2048,reuse_intensive,False
71,1,64,1,tenant-0,L0064,2048,reuse_intensive,False
72,1,109,0,tenant-5,L0109,2048,reuse_intensive,False
73,1,64,2,tenant-0,L0064,2048,reuse_intensive,False
74,1,74,0,tenant-2,L0074,2048,reuse_intensive,False
75,1,75,0,tenant-3,L0075,2048,reuse_intensive,False
76,1,122,0,tenant-2,L0122,2048,reuse_intensive,False
77,1,64,0,tenant-0,L0064,2048,reuse_intensive,False
78,1,103,0,tenant-7,L0103,2048,reuse_intensive,False
79,1,98,0,tenant-2,L0098,2048,reuse_intensive,False
80,1,69,1,tenant-5,L0069,2048,reuse_intensive,False
81,1,120,0,tenant-0,L0120,2048,reuse_intensive,False
82,1,74,1,tenant-2,L0074,2048,reuse_intensive,False
83,1,65,1,tenant-1,L0065,2048,reuse_intensive,False
84,1,95,0,tenant-7,L0095,2048,reuse_intensive,False
85,1,70,0,tenant-6,L0070,2048,reuse_intensive,False
86,1,71,0,tenant-7,L0071,2048,reuse_intensive,False
87,1,79,1,tenant-7,L0079,2048,reuse_intensive,False
88,1,71,1,tenant-7,L0071,2048,reuse_intensive,False
89,1,68,0,tenant-4,L0068,2048,reuse_intensive,False
90,1,65,2,tenant-1,L0065,2048,reuse_intensive,False
91,1,105,0,tenant-1,L0105,2048,reuse_intensive,False
92,1,72,0,tenant-0,L0072,2048,reuse_intensive,False
93,1,64,1,tenant-0,L0064,2048,reuse_intensive,False
94,1,78,0,tenant-6,L0078,2048,reuse_intensive,False
95,1,64,2,tenant-0,L0064,2048,reuse_intensive,False
96,1,64,0,tenant-0,L0064,2048,reuse_intensive,False
97,1,87,1,tenant-7,L0087,2048,reuse_intensive,False
98,1,64,1,tenant-0,L0064,2048,reuse_intensive,False
99,1,67,2,tenant-3,L0067,2048,reuse_intensive,False
100,1,64,2,tenant-0,L0064,2048,reuse_intensive,False
101,1,68,1,tenant-4,L0068,2048,reuse_intensive,False
102,1,67,0,tenant-3,L0067,2048,reuse_intensive,False
103,1,72,1,tenant-0,L0072,2048,reuse_intensive,False
104,1,68,2,tenant-4,L0068,2048,reuse_intensive,False
105,1,64,0,tenant-0,L0064,2048,reuse_intensive,False
106,1,83,0,tenant-3,L0083,2048,reuse_intensive,False
107,1,68,0,tenant-4,L0068,2048,reuse_intensive,False
108,1,64,1,tenant-0,L0064,2048,reuse_intensive,False
109,1,65,0,tenant-1,L0065,2048,reuse_intensive,False
110,1,70,1,tenant-6,L0070,2048,reuse_intensive,False
111,1,77,0,tenant-5,L0077,2048,reuse_intensive,False
112,1,93,0,tenant-5,L0093,2048,reuse_intensive,False
113,1,64,2,tenant-0,L0064,2048,reuse_intensive,False
114,1,65,1,tenant-1,L0065,2048,reuse_intensive,False
115,1,66,1,tenant-2,L0066,2048,reuse_intensive,False
116,1,85,0,tenant-5,L0085,2048,reuse_intensive,False
117,1,120,1,tenant-0,L0120,2048,reuse_intensive,False
118,1,69,2,tenant-5,L0069,2048,reuse_intensive,False
119,1,68,1,tenant-4,L0068,2048,reuse_intensive,False
