request_id,arrival_time,tenant,digest,prefix_token_target,discard
0,0.0,tenant-0,p0000,2048,True
1,0.03,tenant-1,p0009,2048,True
2,0.06,tenant-4,p0004,2048,True
3,0.09,tenant-0,p0008,2048,True
4,0.12,tenant-3,p0003,2048,True
5,0.15,tenant-0,p0000,2048,True
6,0.18,tenant-1,p0001,2048,True
7,0.21,tenant-0,p0000,2048,True
8,0.24,tenant-0,p0000,2048,False
9,0.27,tenant-7,p0015,2048,False
10,0.3,tenant-1,p0001,2048,False
11,0.32999999999999996,tenant-7,p0007,2048,False
12,0.36,tenant-0,p0000,2048,False
13,0.39,tenant-1,p0001,2048,False
14,0.42,tenant-0,p0000,2048,False
15,0.44999999999999996,tenant-7,p0015,2048,False
16,0.48,tenant-0,p0000,2048,False
17,0.51,tenant-4,p0044,2048,False
18,0.54,tenant-0,p0000,2048,False
19,0.57,tenant-1,p0001,2048,False
20,0.6,tenant-3,p0011,2048,False
21,0.63,tenant-1,p0001,2048,False
22,0.6599999999999999,tenant-2,p0002,2048,False
23,0.69,tenant-1,p0025,2048,False
