request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,discard
0,0,11,0,tenant-3,L0011,2048,True
1,0,25,0,tenant-1,L0025,2048,True
2,0,45,0,tenant-5,L0045,2048,True
3,0,55,0,tenant-7,L0055,2048,True
4,0,0,0,tenant-0,L0000,2048,True
5,0,27,0,tenant-3,L0027,2048,True
6,0,2,0,tenant-2,L0002,2048,True
7,0,11,1,tenant-3,L0011,2560,True
8,0,24,0,tenant-0,L0024,2048,True
9,0,15,0,tenant-7,L0015,2048,True
10,0,15,1,tenant-7,L0015,2560,True
11,0,51,0,tenant-3,L0051,2048,True
12,0,61,0,tenant-5,L0061,2048,True
13,0,4,0,tenant-4,L0004,2048,True
14,0,16,0,tenant-0,L0016,2048,True
15,0,62,0,tenant-6,L0062,2048,True
16,0,0,1,tenant-0,L0000,2560,True
17,0,12,0,tenant-4,L0012,2048,True
18,0,31,0,tenant-7,L0031,2048,True
19,0,29,0,tenant-5,L0029,2048,True
20,0,10,0,tenant-2,L0010,2048,True
21,0,58,0,tenant-2,L0058,2048,True
22,0,58,1,tenant-2,L0058,2560,True
23,0,2,1,tenant-2,L0002,2560,True
24,0,0,2,tenant-0,L0000,3072,True
25,0,0,0,tenant-0,L0000,2048,True
26,0,15,2,tenant-7,L0015,3072,True
27,0,15,0,tenant-7,L0015,2048,True
28,0,24,1,tenant-0,L0024,2560,True
29,0,55,1,tenant-7,L0055,2560,True
30,0,17,0,tenant-1,L0017,2048,True
31,0,46,0,tenant-6,L0046,2048,True
32,0,4,1,tenant-4,L0004,2560,False
33,0,0,1,tenant-0,L0000,2560,False
34,0,21,0,tenant-5,L0021,2048,False
35,0,16,1,tenant-0,L0016,2560,False
36,0,2,2,tenant-2,L0002,3072,False
37,0,3,0,tenant-3,L0003,2048,False
38,0,9,0,tenant-1,L0009,2048,False
39,0,54,0,tenant-6,L0054,2048,False
40,0,9,1,tenant-1,L0009,2560,False
41,0,22,0,tenant-6,L0022,2048,False
42,0,6,0,tenant-6,L0006,2048,False
43,0,0,2,tenant-0,L0000,3072,False
44,0,36,0,tenant-4,L0036,2048,False
45,0,28,0,tenant-4,L0028,2048,False
46,0,47,0,tenant-7,L0047,2048,False
47,0,31,1,tenant-7,L0031,2560,False
