request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,workload,discard
0,0,3,0,tenant-3,L0003,1024,reuse_intensive,True
1,0,2,0,tenant-2,L0002,2048,reuse_intensive,True
2,0,4,0,tenant-4,L0004,1024,reuse_intensive,True
3,0,3,1,tenant-3,L0003,1024,reuse_intensive,True
4,0,0,0,tenant-0,L0000,4096,reuse_intensive,True
5,0,61,0,tenant-5,L0061,1024,reuse_intensive,True
6,0,2,1,tenant-2,L0002,2048,reuse_intensive,True
7,0,1,0,tenant-1,L0001,1024,reuse_intensive,True
8,0,15,0,tenant-7,L0015,2048,reuse_intensive,True
9,0,62,0,tenant-6,L0062,2048,reuse_intensive,True
10,0,1,1,tenant-1,L0001,1024,reuse_intensive,True
11,0,1,2,tenant-1,L0001,1024,reuse_intensive,True
12,0,2,2,tenant-2,L0002,2048,reuse_intensive,True
13,0,38,0,tenant-6,L0038,2048,reuse_intensive,True
14,0,7,0,tenant-7,L0007,1024,reuse_intensive,True
15,0,1,0,tenant-1,L0001,1024,reuse_intensive,True
16,0,0,1,tenant-0,L0000,4096,reuse_intensive,True
17,0,33,0,tenant-1,L0033,4096,reuse_intensive,True
18,0,0,2,tenant-0,L0000,4096,reuse_intensive,True
19,0,2,0,tenant-2,L0002,2048,reuse_intensive,True
20,0,20,0,tenant-4,L0020,2048,reuse_intensive,True
21,0,0,0,tenant-0,L0000,4096,reuse_intensive,True
22,0,1,1,tenant-1,L0001,1024,reuse_intensive,True
23,0,0,1,tenant-0,L0000,4096,reuse_intensive,True
24,0,13,0,tenant-5,L0013,2048,reuse_intensive,False
25,0,6,0,tenant-6,L0006,1024,reuse_intensive,False
26,0,44,0,tenant-4,L0044,2048,reuse_intensive,False
27,0,1,2,tenant-1,L0001,1024,reuse_intensive,False
28,0,52,0,tenant-4,L0052,1024,reuse_intensive,False
29,0,15,1,tenant-7,L0015,2048,reuse_intensive,False
30,0,5,0,tenant-5,L0005,2048,reuse_intensive,False
31,0,4,1,tenant-4,L0004,1024,reuse_intensive,False
32,0,12,0,tenant-4,L0012,2048,reuse_intensive,False
33,0,0,2,tenant-0,L0000,4096,reuse_intensive,False
34,0,0,0,tenant-0,L0000,4096,reuse_intensive,False
35,0,9,0,tenant-1,L0009,1024,reuse_intensive,False
36,0,0,1,tenant-0,L0000,4096,reuse_intensive,False
37,0,6,1,tenant-6,L0006,1024,reuse_intensive,False
38,0,29,0,tenant-5,L0029,2048,reuse_intensive,False
39,0,1,0,tenant-1,L0001,1024,reuse_intensive,False
40,0,9,1,tenant-1,L0009,1024,reuse_intensive,False
41,0,10,0,tenant-2,L0010,2048,reuse_intensive,False
42,0,4,2,tenant-4,L0004,1024,reuse_intensive,False
43,0,3,2,tenant-3,L0003,1024,reuse_intensive,False
44,0,0,2,tenant-0,L0000,4096,reuse_intensive,False
45,0,1,1,tenant-1,L0001,1024,reuse_intensive,False
46,0,6,2,tenant-6,L0006,1024,reuse_intensive,False
47,0,0,0,tenant-0,L0000,4096,reuse_intensive,False
48,0,4,0,tenant-4,L0004,1024,reuse_intensive,False
49,0,29,1,tenant-5,L0029,2048,reuse_intensive,False
50,0,0,1,tenant-0,L0000,4096,reuse_intensive,False
51,0,1,2,tenant-1,L0001,1024,reuse_intensive,False
52,0,4,1,tenant-4,L0004,1024,reuse_intensive,False
53,0,15,2,tenant-7,L0015,2048,reuse_intensive,False
54,0,1,0,tenant-1,L0001,1024,reuse_intensive,False
55,0,19,0,tenant-3,L0019,1024,reuse_intensive,False
56,0,25,0,tenant-1,L0025,1024,reuse_intensive,False
57,0,0,2,tenant-0,L0000,4096,reuse_intensive,False
58,0,0,0,tenant-0,L0000,4096,reuse_intensive,False
59,0,0,1,tenant-0,L0000,4096,reuse_intensive,False
60,1,125,0,tenant-5,L0125,2048,reuse_intensive,False
61,1,64,0,tenant-0,L0064,2048,reuse_intensive,False
62,1,69,0,tenant-5,L0069,2048,reuse_intensive,False
