request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,workload,discard
0,0,1,0,tenant-1,L0001,2048,reuse_intensive,True
1,0,0,0,tenant-0,L0000,2048,reuse_intensive,True
2,0,0,1,tenant-0,L0000,2048,reuse_intensive,True
3,0,1,1,tenant-1,L0001,2048,reuse_intensive,True
4,0,3,0,tenant-3,L0003,1024,reuse_intensive,True
5,0,4,0,tenant-4,L0004,2048,reuse_intensive,True
6,0,1,2,tenant-1,L0001,2048,reuse_intensive,True
7,0,5,0,tenant-5,L0005,4096,reuse_intensive,True
8,0,18,0,tenant-2,L0018,4096,reuse_intensive,True
9,0,1,0,tenant-1,L0001,2048,reuse_intensive,True
10,0,0,2,tenant-0,L0000,2048,reuse_intensive,True
11,0,0,0,tenant-0,L0000,2048,reuse_intensive,True
12,0,62,0,tenant-6,L0062,1024,reuse_intensive,True
13,0,0,1,tenant-0,L0000,2048,reuse_intensive,True
14,0,1,1,tenant-1,L0001,2048,reuse_intensive,True
15,0,0,2,tenant-0,L0000,2048,reuse_intensive,True
16,0,3,1,tenant-3,L0003,1024,reuse_intensive,True
17,0,1,2,tenant-1,L0001,2048,reuse_intensive,True
18,0,10,0,tenant-2,L0010,4096,reuse_intensive,True
19,0,0,0,tenant-0,L0000,2048,reuse_intensive,True
20,0,0,1,tenant-0,L0000,2048,reuse_intensive,True
21,0,0,2,tenant-0,L0000,2048,reuse_intensive,True
22,0,46,0,tenant-6,L0046,2048,reuse_intensive,True
23,0,4,1,tenant-4,L0004,2048,reuse_intensive,True
24,0,24,0,tenant-0,L0024,1024,reuse_intensive,False
25,0,0,0,tenant-0,L0000,2048,reuse_intensive,False
26,0,0,1,tenant-0,L0000,2048,reuse_intensive,False
27,0,0,2,tenant-0,L0000,2048,reuse_intensive,False
28,0,2,0,tenant-2,L0002,4096,reuse_intensive,False
29,0,2,1,tenant-2,L0002,4096,reuse_intensive,False
30,0,0,0,tenant-0,L0000,2048,reuse_intensive,False
31,0,1,0,tenant-1,L0001,2048,reuse_intensive,False
32,0,0,1,tenant-0,L0000,2048,reuse_intensive,False
33,0,2,2,tenant-2,L0002,4096,reuse_intensive,False
34,0,4,2,tenant-4,L0004,2048,reuse_intensive,False
35,0,4,0,tenant-4,L0004,2048,reuse_intensive,False
36,0,3,2,tenant-3,L0003,1024,reuse_intensive,False
37,0,0,2,tenant-0,L0000,2048,reuse_intensive,False
38,0,1,1,tenant-1,L0001,2048,reuse_intensive,False
39,0,4,1,tenant-4,L0004,2048,reuse_intensive,False
40,0,2,0,tenant-2,L0002,4096,reuse_intensive,False
41,0,1,2,tenant-1,L0001,2048,reuse_intensive,False
42,0,4,2,tenant-4,L0004,2048,reuse_intensive,False
43,0,1,0,tenant-1,L0001,2048,reuse_intensive,False
44,0,4,0,tenant-4,L0004,2048,reuse_intensive,False
45,0,0,0,tenant-0,L0000,2048,reuse_intensive,False
46,0,5,1,tenant-5,L0005,4096,reuse_intensive,False
47,0,0,1,tenant-0,L0000,2048,reuse_intensive,False
48,0,11,0,tenant-3,L0011,4096,reuse_intensive,False
49,0,1,1,tenant-1,L0001,2048,reuse_intensive,False
50,0,8,0,tenant-0,L0008,1024,reuse_intensive,False
51,0,0,2,tenant-0,L0000,2048,reuse_intensive,False
52,0,12,0,tenant-4,L0012,4096,reuse_intensive,False
53,0,1,2,tenant-1,L0001,2048,reuse_intensive,False
54,0,13,0,tenant-5,L0013,4096,reuse_intensive,False
55,0,0,0,tenant-0,L0000,2048,reuse_intensive,False
56,0,61,0,tenant-5,L0061,1024,reuse_intensive,False
57,0,18,1,tenant-2,L0018,4096,reuse_intensive,False
58,0,1,0,tenant-1,L0001,2048,reuse_intensive,False
59,0,0,1,tenant-0,L0000,2048,reuse_intensive,False
60,1,64,0,tenant-0,L0064,1024,reuse_intensive,False
61,1,64,1,tenant-0,L0064,1024,reuse_intensive,False
62,1,103,0,tenant-7,L0103,4096,reuse_intensive,False
63,1,110,0,tenant-6,L0110,4096,reuse_intensive,False
64,1,75,0,tenant-3,L0075,2048,reuse_intensive,False
65,1,124,0,tenant-4,L0124,1024,reuse_intensive,False
66,1,65,0,tenant-1,L0065,2048,reuse_intensive,False
67,1,64,2,tenant-0,L0064,1024,reuse_intensive,False
68,1,67,0,tenant-3,L0067,2048,reuse_intensive,False
69,1,68,0,tenant-4,L0068,1024,reuse_intensive,False
70,1,68,1,tenant-4,L0068,1024,reuse_intensive,False
71,1,89,0,tenant-1,L0089,1024,reuse_intensive,False
72,1,64,0,tenant-0,L0064,1024,reuse_intensive,False
