request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,workload,discard
0,0,14,0,tenant-6,L0014,2048,original_compatible,True
1,0,0,0,tenant-0,L0000,2048,original_compatible,True
2,0,7,0,tenant-7,L0007,2048,original_compatible,True
3,0,23,0,tenant-7,L0023,2048,original_compatible,True
4,0,22,0,tenant-6,L0022,2048,original_compatible,True
5,0,0,1,tenant-0,L0000,2560,original_compatible,True
6,0,0,2,tenant-0,L0000,3072,original_compatible,True
7,0,0,0,tenant-0,L0000,2048,original_compatible,True
8,0,3,0,tenant-3,L0003,2048,original_compatible,True
9,0,0,1,tenant-0,L0000,2560,original_compatible,True
10,0,1,0,tenant-1,L0001,2048,original_compatible,True
11,0,7,1,tenant-7,L0007,2560,original_compatible,True
12,0,2,0,tenant-2,L0002,2048,original_compatible,True
13,0,0,2,tenant-0,L0000,3072,original_compatible,True
14,0,22,1,tenant-6,L0022,2560,original_compatible,True
15,0,1,1,tenant-1,L0001,2560,original_compatible,True
16,0,1,2,tenant-1,L0001,3072,original_compatible,True
17,0,0,0,tenant-0,L0000,2048,original_compatible,True
18,0,1,0,tenant-1,L0001,2048,original_compatible,True
19,0,0,1,tenant-0,L0000,2560,original_compatible,True
20,0,2,1,tenant-2,L0002,2560,original_compatible,True
21,0,17,0,tenant-1,L0017,2048,original_compatible,True
22,0,1,1,tenant-1,L0001,2560,original_compatible,True
23,0,22,2,tenant-6,L0022,3072,original_compatible,True
24,0,0,2,tenant-0,L0000,3072,original_compatible,False
25,0,0,0,tenant-0,L0000,2048,original_compatible,False
26,0,1,2,tenant-1,L0001,3072,original_compatible,False
27,0,0,1,tenant-0,L0000,2560,original_compatible,False
28,0,0,2,tenant-0,L0000,3072,original_compatible,False
29,0,0,0,tenant-0,L0000,2048,original_compatible,False
30,0,0,1,tenant-0,L0000,2560,original_compatible,False
31,0,0,2,tenant-0,L0000,3072,original_compatible,False
32,0,6,0,tenant-6,L0006,2048,original_compatible,False
33,0,1,0,tenant-1,L0001,2048,original_compatible,False
34,0,30,0,tenant-6,L0030,2048,original_compatible,False
35,0,0,0,tenant-0,L0000,2048,original_compatible,False
36,0,2,2,tenant-2,L0002,3072,original_compatible,False
37,0,1,1,tenant-1,L0001,2560,original_compatible,False
38,0,3,1,tenant-3,L0003,2560,original_compatible,False
39,0,19,0,tenant-3,L0019,2048,original_compatible,False
40,0,0,1,tenant-0,L0000,2560,original_compatible,False
41,0,0,2,tenant-0,L0000,3072,original_compatible,False
42,0,0,0,tenant-0,L0000,2048,original_compatible,False
43,0,1,2,tenant-1,L0001,3072,original_compatible,False
44,0,8,0,tenant-0,L0008,2048,original_compatible,False
45,0,26,0,tenant-2,L0026,2048,original_compatible,False
46,0,8,1,tenant-0,L0008,2560,original_compatible,False
47,0,4,0,tenant-4,L0004,2048,original_compatible,False
48,0,3,2,tenant-3,L0003,3072,original_compatible,False
49,0,4,1,tenant-4,L0004,2560,original_compatible,False
50,0,0,1,tenant-0,L0000,2560,original_compatible,False
51,0,2,0,tenant-2,L0002,2048,original_compatible,False
52,0,18,0,tenant-2,L0018,2048,original_compatible,False
53,0,0,2,tenant-0,L0000,3072,original_compatible,False
54,0,1,0,tenant-1,L0001,2048,original_compatible,False
55,0,23,1,tenant-7,L0023,2560,original_compatible,False
56,0,1,1,tenant-1,L0001,2560,original_compatible,False
57,0,2,1,tenant-2,L0002,2560,original_compatible,False
58,0,14,1,tenant-6,L0014,2560,original_compatible,False
59,0,1,2,tenant-1,L0001,3072,original_compatible,False
60,1,32,0,tenant-0,L0032,2048,original_compatible,False
61,1,40,0,tenant-0,L0040,2048,original_compatible,False
62,1,55,0,tenant-7,L0055,2048,original_compatible,False
63,1,56,0,tenant-0,L0056,2048,original_compatible,False
64,1,32,1,tenant-0,L0032,2560,original_compatible,False
65,1,33,0,tenant-1,L0033,2048,original_compatible,False
66,1,37,0,tenant-5,L0037,2048,original_compatible,False
67,1,34,0,tenant-2,L0034,2048,original_compatible,False
68,1,42,0,tenant-2,L0042,2048,original_compatible,False
69,1,37,1,tenant-5,L0037,2560,original_compatible,False
70,1,39,0,tenant-7,L0039,2048,original_compatible,False
71,1,51,0,tenant-3,L0051,2048,original_compatible,False
72,1,34,1,tenant-2,L0034,2560,original_compatible,False
73,1,32,2,tenant-0,L0032,3072,original_compatible,False
74,1,38,0,tenant-6,L0038,2048,original_compatible,False
75,1,36,0,tenant-4,L0036,2048,original_compatible,False
76,1,34,2,tenant-2,L0034,3072,original_compatible,False
77,1,45,0,tenant-5,L0045,2048,original_compatible,False
78,1,32,0,tenant-0,L0032,2048,original_compatible,False
79,1,33,1,tenant-1,L0033,2560,original_compatible,False
80,1,37,2,tenant-5,L0037,3072,original_compatible,False
81,1,39,1,tenant-7,L0039,2560,original_compatible,False
82,1,33,2,tenant-1,L0033,3072,original_compatible,False
83,1,32,1,tenant-0,L0032,2560,original_compatible,False
84,1,33,0,tenant-1,L0033,2048,original_compatible,False
85,1,33,1,tenant-1,L0033,2560,original_compatible,False
86,1,33,2,tenant-1,L0033,3072,original_compatible,False
87,1,36,1,tenant-4,L0036,2560,original_compatible,False
88,1,33,0,tenant-1,L0033,2048,original_compatible,False
89,1,41,0,tenant-1,L0041,2048,original_compatible,False
90,1,32,2,tenant-0,L0032,3072,original_compatible,False
91,1,36,2,tenant-4,L0036,3072,original_compatible,False
92,1,55,1,tenant-7,L0055,2560,original_compatible,False
93,1,33,1,tenant-1,L0033,2560,original_compatible,False
94,1,37,0,tenant-5,L0037,2048,original_compatible,False
95,1,32,0,tenant-0,L0032,2048,original_compatible,False
96,1,34,0,tenant-2,L0034,2048,original_compatible,False
97,1,32,1,tenant-0,L0032,2560,original_compatible,False
98,1,34,1,tenant-2,L0034,2560,original_compatible,False
99,1,58,0,tenant-2,L0058,2048,original_compatible,False
100,1,32,2,tenant-0,L0032,3072,original_compatible,False
101,1,32,0,tenant-0,L0032,2048,original_compatible,False
102,1,34,2,tenant-2,L0034,3072,original_compatible,False
103,1,47,0,tenant-7,L0047,2048,original_compatible,False
104,1,32,1,tenant-0,L0032,2560,original_compatible,False
105,1,39,2,tenant-7,L0039,3072,original_compatible,False
106,1,32,2,tenant-0,L0032,3072,original_compatible,False
107,1,32,0,tenant-0,L0032,2048,original_compatible,False
108,1,32,1,tenant-0,L0032,2560,original_compatible,False
109,1,63,0,tenant-7,L0063,2048,original_compatible,False
110,1,35,0,tenant-3,L0035,2048,original_compatible,False
111,1,33,2,tenant-1,L0033,3072,original_compatible,False
112,1,33,0,tenant-1,L0033,2048,original_compatible,False
113,1,35,1,tenant-3,L0035,2560,original_compatible,False
114,1,57,0,tenant-1,L0057,2048,original_compatible,False
115,1,32,2,tenant-0,L0032,3072,original_compatible,False
116,1,33,1,tenant-1,L0033,2560,original_compatible,False
117,1,45,1,tenant-5,L0045,2560,original_compatible,False
118,1,37,1,tenant-5,L0037,2560,original_compatible,False
119,1,32,0,tenant-0,L0032,2048,original_compatible,False
