request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,discard
0,0,0,0,tenant-0,L0000,2048,True
1,0,1,0,tenant-1,L0001,2048,True
2,0,7,0,tenant-7,L0007,2048,True
3,0,0,1,tenant-0,L0000,2560,True
4,0,3,0,tenant-3,L0003,2048,True
5,0,0,2,tenant-0,L0000,3072,True
6,0,3,1,tenant-3,L0003,2560,True
7,0,0,0,tenant-0,L0000,2048,True
8,0,13,0,tenant-5,L0013,2048,True
9,0,30,0,tenant-6,L0030,2048,True
10,0,22,0,tenant-6,L0022,2048,True
11,0,7,1,tenant-7,L0007,2560,True
12,0,0,1,tenant-0,L0000,2560,True
13,0,0,2,tenant-0,L0000,3072,True
14,0,1,1,tenant-1,L0001,2560,True
15,0,2,0,tenant-2,L0002,2048,True
16,0,0,0,tenant-0,L0000,2048,True
17,0,0,1,tenant-0,L0000,2560,True
18,0,0,2,tenant-0,L0000,3072,False
19,0,0,0,tenant-0,L0000,2048,False
20,0,5,0,tenant-5,L0005,2048,False
21,0,0,1,tenant-0,L0000,2560,False
22,0,4,0,tenant-4,L0004,2048,False
23,0,1,2,tenant-1,L0001,3072,False
24,0,18,0,tenant-2,L0018,2048,False
25,0,27,0,tenant-3,L0027,2048,False
26,0,0,2,tenant-0,L0000,3072,False
27,0,30,1,tenant-6,L0030,2560,False
28,0,1,0,tenant-1,L0001,2048,False
29,0,0,0,tenant-0,L0000,2048,False
30,0,3,2,tenant-3,L0003,3072,False
31,0,2,1,tenant-2,L0002,2560,False
32,0,0,1,tenant-0,L0000,2560,False
33,0,3,0,tenant-3,L0003,2048,False
34,0,3,1,tenant-3,L0003,2560,False
35,0,4,1,tenant-4,L0004,2560,False
36,1,32,0,tenant-0,L0032,2048,False
37,1,32,1,tenant-0,L0032,2560,False
38,1,32,2,tenant-0,L0032,3072,False
39,1,32,0,tenant-0,L0032,2048,False
40,1,40,0,tenant-0,L0040,2048,False
41,1,32,1,tenant-0,L0032,2560,False
42,1,35,0,tenant-3,L0035,2048,False
43,1,37,0,tenant-5,L0037,2048,False
44,1,33,0,tenant-1,L0033,2048,False
45,1,37,1,tenant-5,L0037,2560,False
46,1,36,0,tenant-4,L0036,2048,False
47,1,32,2,tenant-0,L0032,3072,False
48,1,44,0,tenant-4,L0044,2048,False
49,1,60,0,tenant-4,L0060,2048,False
50,1,56,0,tenant-0,L0056,2048,False
51,1,32,0,tenant-0,L0032,2048,False
52,1,54,0,tenant-6,L0054,2048,False
53,1,32,1,tenant-0,L0032,2560,False
54,1,32,2,tenant-0,L0032,3072,False
55,1,62,0,tenant-6,L0062,2048,False
56,1,53,0,tenant-5,L0053,2048,False
57,1,62,1,tenant-6,L0062,2560,False
58,1,45,0,tenant-5,L0045,2048,False
59,1,33,1,tenant-1,L0033,2560,False
60,1,58,0,tenant-2,L0058,2048,False
61,1,32,0,tenant-0,L0032,2048,False
62,1,48,0,tenant-0,L0048,2048,False
63,1,32,1,tenant-0,L0032,2560,False
64,1,34,0,tenant-2,L0034,2048,False
65,1,38,0,tenant-6,L0038,2048,False
66,1,52,0,tenant-4,L0052,2048,False
67,1,36,1,tenant-4,L0036,2560,False
68,1,46,0,tenant-6,L0046,2048,False
69,1,41,0,tenant-1,L0041,2048,False
70,1,32,2,tenant-0,L0032,3072,False
71,1,59,0,tenant-3,L0059,2048,False
